file,column_name,is_asq,is_genetic,is_id
data/6_merged_Drug_StimOrder.csv,Subject,False,False,True
data/DrugA.xls,Subject,False,False,True
data/State&Trait-data.xlsx,ID,False,False,True
data/State&Trait-data.xlsx,FearAvoid_Rate,False,False,True
data/State&Trait-data.xlsx,DismissAvoid,False,False,True
data/State&Trait-data.xlsx,ASQ,True,False,False
data/State&Trait-data.xlsx,EC,True,False,True
data/State&Trait-data.xlsx,ido,False,False,True
data/State&Trait-data.xlsx,CL_Confident,False,False,True
data/collapse_AOIs.csv,ID,False,False,True
data/merged_GazeDir_Gender_Attr.csv,Subject,False,False,True
data/DrugB.xlsx,Subject,False,False,True
data/Fix_Number.xls,Subject,False,False,True
data/Fix_Number.xls,Subject.1,False,False,True
data/8_merged_session.csv,ID,False,False,True
data/AllDrugs_AllAOIs.xlsx,Subject,False,False,True
data/DrugC.xlsx,Subject,False,False,True
data/Eye-tracking_data_N=30_w_ASQ.sav,Subject,False,False,True
data/Eye-tracking_data_N=30_w_ASQ.sav,ASQ,True,False,False
data/Eye-tracking_data_N=30_w_ASQ.sav,ASQ_median_split,True,False,False
data/Fix_Number.xlsx,Subject,False,False,True
data/Fix_Number.xlsx,Subject.1,False,False,True
data/VL_1.xlsx,Subject,False,False,True
data/VL_1.xlsx,Genetics,False,True,False
data/DrugA.xlsx,Subject,False,False,True
data/Gaze_ASQ.xlsx,Subject,False,False,True
data/Gaze_ASQ.xlsx,ASQ,True,False,False
data/Gaze_ASQ.xlsx,ASQ_med_split,True,False,False
data/7_merged_Imagelist.csv,Subject,False,False,True
data/VisualLiking_Guro_edit_march2024.xlsx,ID,False,False,True
data/VisualLiking2 (hedda)_Guro_edit_2024 SESSION STIMLIST DRUG INFO.xlsx,Subject,False,False,True
data/VisualLiking2 (hedda)_Guro_edit_2024 SESSION STIMLIST DRUG INFO.xlsx,Genetics,False,True,False
data/VisualLiking_complete.xlsx,Subject,False,False,True
data/VisualLiking_complete.xlsx,Genetetics,False,True,False
data/AllDrugs_8AOIs.xlsx,Subject,False,False,True
data/analyses/df_fix_time_perc.csv,ID,False,False,True
data/analyses/df_fix_n.csv,ID,False,False,True
