Stimulus,AttrLevel,Gaze2,FaceGender
m014r.jpg,3,A,M
m015c.jpg,3,C,M
m015l.jpg,3,A,M
m016c.jpg,3,C,M
m016r.jpg,3,A,M
m021c.jpg,2,C,M
m021r.jpg,1,A,F
m021r.jpg,2,A,M
m022c.jpg,1,C,M
m022l.jpg,1,A,M
m023c.jpg,1,C,M
m023l.jpg,1,A,M
m024c.jpg,3,C,M
m024r.jpg,3,A,M
m025c.jpg,3,C,M
m025l.jpg,1,C,F
m025l.jpg,3,A,M
m026c.jpg,1,C,M
m026r.jpg,1,A,M
m027c.jpg,2,C,M
m027r.jpg,2,A,M
m028c.jpg,2,C,M
m028r.jpg,2,A,M
m029c.jpg,2,C,M
m029l.jpg,2,A,M
m030c.jpg,1,C,M
m030r.jpg,1,A,M
m034c.jpg,3,C,M
m034l.jpg,3,A,M
m035c.jpg,1,C,M
m035r.jpg,1,A,M
m036c.jpg,3,C,M
m036l.jpg,3,A,M
m038c.jpg,2,C,M
m038r.jpg,2,A,M
m041c.jpg,3,C,M
m041l.jpg,3,A,M
m044c.jpg,3,C,M
m044l.jpg,3,A,M
m047c.jpg,2,C,M
m047l.jpg,2,A,M
m048c.jpg,3,C,M
m048l.jpg,3,A,M
m049c.jpg,2,C,M
m049l.jpg,2,A,M
m050c.jpg,2,C,M
m050l.jpg,2,A,M
m051c.jpg,2,C,M
m051l.jpg,2,A,M
m052c.jpg,1,C,M
m052r.jpg,1,A,M
m054c.jpg,1,C,M
m054r.jpg,1,A,M
m055c.jpg,1,C,M
m055r.jpg,1,A,M
m058c.jpg,1,C,M
m058r.jpg,3,A,F
m058r.jpg,1,A,M
m061c.jpg,2,C,M
m061r.jpg,2,A,M
m062c.jpg,2,C,M
m062r.jpg,2,A,M
m063c.jpg,3,C,M
m063r.jpg,3,A,M
m064c.jpg,2,A,F
m064c.jpg,3,C,M
m064l.jpg,3,A,M
m065c.jpg,1,C,M
m065l.jpg,1,A,M
m067c.jpg,2,C,M
m067r.jpg,2,A,M
m068c.jpg,3,C,M
m068r.jpg,3,A,M
m069c.jpg,2,C,M
m069l.jpg,2,A,M
m070c.jpg,3,C,M
m070l.jpg,3,A,M
m071c.jpg,1,C,F
m071c.jpg,2,C,M
m071l.jpg,1,A,F
m071l.jpg,2,A,M
m072c.jpg,1,C,M
m072r.jpg,1,A,M
m074c.jpg,2,C,M
m074l.jpg,2,A,M
m075c.jpg,3,C,M
m075l.jpg,3,A,M
m076c.jpg,2,C,M
m076l.jpg,2,A,M
m077c.jpg,1,C,M
m077r.jpg,1,A,M
m079c.jpg,2,C,M
m079r.jpg,2,A,M
m083c.jpg,1,C,M
m083l.jpg,1,A,M
m084c.jpg,2,C,F
m084c.jpg,1,C,M
m084r.jpg,1,A,M
m085c.jpg,3,C,M
m085l.jpg,3,A,M
m086c.jpg,2,A,F
m086c.jpg,2,C,M
m086r.jpg,2,C,F
m086r.jpg,2,A,M
m087c.jpg,2,C,M
m087r.jpg,2,A,M
m088c.jpg,2,C,M
m088l.jpg,2,A,M
m089c.jpg,3,C,M
m089l.jpg,3,A,M
m090c.jpg,1,C,M
m090l.jpg,1,A,M
m091c.jpg,1,C,M
m091r.jpg,1,A,M
m095c.jpg,2,C,M
m095r.jpg,2,A,M
null,NA,NULL,NULL
